Id,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Index (for debugging)
a02f4000006n6iDAAQ,09/21/2015,,11/28/2018,Attending,Bachelor's,NSC,,,355
a02f400000Bli7yAAB,08/21/2018,,11/28/2018,Attending,Bachelor's,NSC,,,1998
a02f4000006n6tsAAA,08/27/2012,12/16/2016,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,COLLABORATIVE HEALTH AND HUMAN SERVICES,2233
a02f4000006n6ttAAA,01/18/2017,01/29/2017,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,2232
a02f4000006n6lZAAQ,09/24/2015,,11/28/2018,Attending,Bachelor's,NSC,,,1458
a02f4000006n6lYAAQ,06/13/2016,07/21/2016,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,1457
a02f4000006n6muAAA,01/09/2017,,11/28/2018,Attending,Bachelor's,NSC,,,2760
a02f4000006n6mvAAA,08/18/2014,12/08/2016,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,2759
a02f4000006n6xvAAA,09/03/2013,05/20/2014,11/28/2018,Withdrew,Bachelor's,NSC,,,1603
a02f4000006n6xwAAA,08/17/2016,05/11/2018,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,POLITICAL SCIENCE BA,1602
a02f4000006n6xxAAA,08/17/2015,05/27/2016,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,1601
a02f400000Bli8SAAR,08/27/2018,,11/28/2018,Attending,Bachelor's,NSC,,,2494
a02f4000006n6mdAAA,08/23/2017,,11/28/2018,Attending,Bachelor's,NSC,,,2418
a02f400000Bli26AAB,08/27/2018,,11/28/2018,Attending,Bachelor's,NSC,,,1374
a02f4000006n7EpAAI,08/23/2012,12/16/2016,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,ANTHROPOLOGY,2227
a02f400000Bli8sAAB,08/22/2018,,11/28/2018,Attending,Bachelor's,NSC,,,496
a02f4000006n75fAAA,08/28/2017,12/16/2017,11/28/2018,Transferred out,Bachelor's,NSC,,,1424
a02f400000Bli00AAB,01/08/2018,03/30/2018,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,1423
a02f4000006n75SAAQ,04/04/2016,04/06/2016,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,94
a02f400000Bli2mAAB,08/22/2018,,11/28/2018,Attending,Bachelor's,NSC,,,1277
a02f4000006n6kOAAQ,08/24/2015,,11/28/2018,Attending,Bachelor's,NSC,,,800
a02f4000006n6zEAAQ,09/05/2017,05/25/2018,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,801
a02f4000006n6nbAAA,09/23/2017,,11/28/2018,Attending,Bachelor's,NSC,,,2162
a02f4000006n7CXAAY,09/23/2013,06/16/2017,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE COMMERCE,MARKETING,562
a02f4000006n74TAAQ,06/19/2017,,11/28/2018,Attending,Bachelor's,NSC,,,1740
a02f400000Bli1AAAR,05/29/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,2101
a02f4000006n6fHAAQ,08/28/2017,05/08/2018,11/28/2018,Transferred out,Bachelor's,NSC,,,2100
a02f400000BlhxlAAB,09/24/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,2921
a02f4000006n7EDAAY,09/04/2012,05/23/2013,11/28/2018,Transferred out,Bachelor's,NSC,,,440
a02f4000006n7ECAAY,09/06/2011,04/21/2012,11/28/2018,Withdrew,Bachelor's,NSC,,,439
a02f4000006n7EBAAY,08/26/2013,12/16/2015,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,BUSINESS ADMINISTRATION,438
a02f400000Bli8HAAR,08/27/2018,,11/28/2018,Attending,Bachelor's,NSC,,,628
a02f4000006n6wsAAA,08/29/2016,05/26/2018,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,STUDIO ART,1652
a02f4000006n6gIAAQ,08/18/2015,12/10/2015,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,2407
a02f4000006n75uAAA,09/22/2016,,11/28/2018,Attending,Bachelor's,NSC,,,285
a02f4000006n6laAAA,09/17/2012,06/10/2016,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,MECHANICAL ENGINEERING,443
a02f4000006n6f6AAA,09/19/2015,,11/28/2018,Attending,Bachelor's,NSC,,,468
a02f4000006n7ALAAY,09/02/2014,05/13/2018,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,PHILOSOPHY,2678
a02f400000Bli3kAAB,08/20/2018,,11/28/2018,Attending,Bachelor's,NSC,,,2677
a02f400000Bli2YAAR,01/16/2018,05/17/2018,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,2623
a02f4000006n7AhAAI,05/31/2016,12/16/2016,11/28/2018,Withdrew,Bachelor's,NSC,,,2622
a02f400000Bli2uAAB,05/29/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,2811
a02f400000Bli2vAAB,09/22/2018,,11/28/2018,Attending,Bachelor's,NSC,,,2810
a02f400000Bli2GAAR,08/27/2018,,11/28/2018,Attending,Bachelor's,NSC,,,2905
a02f4000006n7NHAAY,08/23/2017,09/13/2018,11/28/2018,Withdrew,Bachelor's,NSC,,,643
a02f4000006n7O1AAI,08/25/2014,05/14/2018,11/28/2018,Withdrew,Bachelor's,NSC,,,2091
a02f4000006n79gAAA,08/30/2016,,11/28/2018,Attending,Bachelor's,NSC,,,549
a02f4000006n74zAAA,08/20/2015,,11/28/2018,Attending,Bachelor's,NSC,,,702
a02f4000006n7EJAAY,08/18/2014,06/01/2015,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,273
a02f4000006n7EIAAY,08/16/2017,07/19/2018,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,272
a02f4000006n6n7AAA,09/21/2017,,11/28/2018,Attending,Bachelor's,NSC,,,944
a02f4000006n6jvAAA,08/28/2017,,11/28/2018,Attending,Bachelor's,NSC,,,2274
a02f4000006n7MiAAI,08/21/2017,,11/28/2018,Attending,Bachelor's,NSC,,,488
a02f4000006n7MhAAI,08/29/2016,05/11/2017,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,487
a02f4000006n7MgAAI,08/29/2016,12/15/2016,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,486
a02f4000006n6iwAAA,09/11/2017,,11/28/2018,Attending,Bachelor's,NSC,,,1798
a02f4000006n6ecAAA,08/24/2016,05/12/2017,11/28/2018,Withdrew,Bachelor's,NSC,,,1992
a02f4000006n6edAAA,09/25/2017,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1991
a02f400000Bli36AAB,09/24/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1990
a02f4000006n7CwAAI,09/28/2017,,11/28/2018,Attending,Bachelor's,NSC,,,1859
a02f4000006n6z8AAA,08/29/2016,07/27/2017,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,1972
a02f400000Bli5EAAR,01/16/2018,05/20/2018,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,819
a02f4000006n6ldAAA,08/16/2017,12/07/2017,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,818
a02f4000006n6puAAA,08/24/2016,,11/28/2018,Attending,Bachelor's,NSC,,,1940
a02f4000006n78uAAA,09/21/2015,12/15/2017,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,12
a02f400000Bli6BAAR,01/08/2018,03/30/2018,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,1728
a02f4000006n6w2AAA,09/26/2016,11/18/2016,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,1727
a02f4000006n6lfAAA,08/17/2016,,11/28/2018,Attending,Bachelor's,NSC,,,1768
a02f4000006n7BoAAI,08/20/2015,12/12/2016,11/28/2018,Transferred out,Bachelor's,NSC,,,2600
a02f4000006n7BpAAI,09/25/2017,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,2599
a02f4000006n7BnAAI,01/30/2017,05/26/2017,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,2598
a02f4000006n6y5AAA,09/21/2015,,11/28/2018,Attending,Bachelor's,NSC,,,203
a02f400000Bli5cAAB,07/30/2018,,11/28/2018,Attending,Bachelor's,NSC,,,172
a02f4000006n77uAAA,09/23/2015,,11/28/2018,Attending,Bachelor's,NSC,,,158
a02f4000006n77vAAA,06/20/2016,07/28/2016,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,157
a02f4000006n77wAAA,08/22/2015,12/17/2015,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,156
a02f4000006n7OGAAY,06/01/2015,,11/28/2018,Attending,Bachelor's,NSC,,,2774
a02f400000Bli3tAAB,08/20/2018,,11/28/2018,Attending,Bachelor's,NSC,,,30
a02f4000006n77HAAQ,08/24/2015,,11/28/2018,Attending,Bachelor's,NSC,,,2608
a02f400000Bli2SAAR,08/22/2018,,11/28/2018,Attending,Bachelor's,NSC,,,1368
a02f4000006n7CiAAI,08/24/2016,12/16/2016,11/28/2018,Transferred out,Bachelor's,NSC,,,1367
a02f4000006n7ChAAI,01/17/2017,07/12/2018,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,1366
a02f4000006n779AAA,08/25/2014,05/05/2018,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,PROF FLIGHT TECHNOLOGY,18
a02f4000006n6irAAA,08/21/2015,,11/28/2018,Attending,Bachelor's,NSC,,,2829
a02f400000Bli15AAB,08/27/2018,,11/28/2018,Attending,Bachelor's,NSC,,,2775
a02f400000Blhz5AAB,01/16/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,293
a02f4000006n78zAAA,06/13/2017,08/03/2017,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,292
a02f400000Blhz4AAB,08/27/2018,,11/28/2018,Attending,Bachelor's,NSC,,,291
a02f4000006n78xAAA,09/27/2014,01/21/2015,11/28/2018,Transferred out,Bachelor's,NSC,,,290
a02f4000006n78yAAA,01/22/2015,12/12/2017,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,289
a02f400000Bli8pAAB,09/24/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1611
a02f400000BlhxmAAB,08/15/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,300
a02f4000006n6x8AAA,08/18/2014,05/19/2017,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,1447
a02f4000006n6x7AAA,08/16/2017,05/25/2018,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,1446
a02f400000Bli6kAAB,08/25/2018,,11/28/2018,Attending,Bachelor's,NSC,,,173
a02f4000006n7J4AAI,08/29/2016,,11/28/2018,Attending,Bachelor's,NSC,,,1697
a02f400000Bli9IAAR,09/26/2018,,11/28/2018,Attending,Bachelor's,NSC,,,184
a02f4000006n7NcAAI,08/17/2016,08/03/2017,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,734
a02f4000006n7NbAAI,08/31/2015,12/22/2016,11/28/2018,Transferred out,Bachelor's,NSC,,,733
a02f4000006n7FyAAI,09/02/2014,10/16/2014,11/28/2018,Withdrew,Bachelor's,NSC,,,2058
a02f4000006n7FxAAI,08/27/2012,12/12/2013,11/28/2018,Withdrew,Bachelor's,NSC,,,2057
a02f4000006n7FvAAI,09/28/2015,01/23/2017,11/28/2018,Withdrew,Bachelor's,NSC,,,2056
a02f4000006n7FwAAI,05/18/2015,06/22/2015,11/28/2018,Transferred out,Bachelor's,NSC,,,2055
a02f4000006n795AAA,05/15/2016,05/15/2016,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,COGNITIVE SCIENCE,2000
a02f4000006n794AAA,08/29/2012,12/19/2015,11/28/2018,Withdrew,Bachelor's,NSC,,,1999
a02f400000Bli4YAAR,08/27/2018,,11/28/2018,Attending,Bachelor's,NSC,,,1874
a02f4000006n6g2AAA,08/29/2017,,11/28/2018,Attending,Bachelor's,NSC,,,658
a02f4000006n6emAAA,08/24/2015,,11/28/2018,Attending,Bachelor's,NSC,,,1114
a02f4000006n7PXAAY,08/29/2016,04/16/2018,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,2306
a02f4000006n7PWAAY,08/31/2015,07/28/2016,11/28/2018,Graduated,Certificate,NSC,"CERT OF ACHIEVE-LVL III, SJCC",NOT APPLICABLE,2305
a02f400000BlhxIAAR,09/26/2018,,11/28/2018,Attending,Bachelor's,NSC,,,13
a02f400000Bli8JAAR,05/29/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,864
a02f4000006n6k9AAA,05/30/2017,08/03/2017,11/28/2018,Transferred out,Associate's or Certificate (TBD),NSC,,,863
a02f4000006n6kAAAQ,08/24/2016,,11/28/2018,Attending,Bachelor's,NSC,,,862
a02f400000Bli21AAB,09/26/2018,,11/28/2018,Attending,Bachelor's,NSC,,,2692
a02f4000006n6gaAAA,09/05/2016,,11/28/2018,Attending,Bachelor's,NSC,,,667
a02f4000006n77YAAQ,09/27/2017,06/14/2018,11/28/2018,Graduated,Bachelor's,NSC,MASTER OF PROF ACCOUNTANCY,PROFESSIONAL ACCOUNTANCY,1348
a02f4000006n77aAAA,01/07/2017,03/20/2017,11/28/2018,Transferred out,Bachelor's,NSC,,,1347
a02f4000006n77ZAAQ,09/15/2014,06/17/2017,11/28/2018,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,BUSINESS ADMINISTRATION,1346
a02f4000006n6lTAAQ,01/11/2016,,11/28/2018,Attending,Bachelor's,NSC,,,1096
a02f400000Bli3wAAB,08/27/2018,,11/28/2018,Attending,Bachelor's,NSC,,,229
a02f400000Bli4uAAB,05/29/2018,,11/28/2018,Attending,Associate's or Certificate (TBD),NSC,,,1973
a02f4000006n6k7AAA,01/07/2013,01/25/2013,11/28/2018,Withdrew,Associate's or Certificate (TBD),NSC,,,858
