Id,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Index (for debugging)
a02f4000006n6eiAAA,2017-08-28,2019-05-17,2019-11-18,Withdrew,Bachelor's,NSC,,,1735
a02f4000006n70jAAA,2017-09-07,,2019-11-18,Attending,Bachelor's,NSC,,,2697
a02f4000006n7OTAAY,2014-08-19,2018-05-17,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,COMPUTER SCIENCE,2285
a02f4000006n6wLAAQ,2017-09-06,,2019-11-18,Attending,Bachelor's,NSC,,,2435
a02f400000iSnAOAA0,2020-08-19,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2501
a02f400000Bli6UAAR,2018-05-29,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1233
a02f400000KbGa5AAF,2019-09-25,,2019-11-18,Attending,Bachelor's,NSC,,,1881
a02f400000Bli5kAAB,2018-08-20,,2019-11-18,Attending,Bachelor's,NSC,,,816
a02f400000KbGejAAF,2019-08-14,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,831
a02f4000006n6t0AAA,2016-06-13,2016-07-20,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,2863
a02f4000006n6t1AAA,2016-06-06,2016-09-16,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,2862
a02f4000006n6szAAA,2015-08-31,2018-12-31,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,BIOLOGY,2861
a02f400000iSn9mAAC,2020-06-29,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3553
a02f400000iSnA2AAK,2020-08-19,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1311
a02f400000KbGcRAAV,2016-09-22,,2019-11-18,Attending,Bachelor's,NSC,,,2017
a02f400000KbGcQAAV,2019-07-01,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2016
a02f400000KbGbzAAF,2019-09-16,,2019-11-18,Attending,Bachelor's,NSC,,,42
a02f400000G1i7NAAR,2019-01-28,2019-05-24,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1100
a02f4000006n6iFAAQ,2016-08-17,2016-12-15,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,830
a02f400000KbGh8AAF,2019-08-21,2019-09-12,2019-11-18,Transferred out,Bachelor's,NSC,,,769
a02f400000BlhxJAAR,2018-09-04,2019-05-24,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,768
a02f400000BlhzyAAB,2018-09-24,,2019-11-18,Attending,Bachelor's,NSC,,,2675
a02f400000Etg2eAAB,2017-09-27,,2019-11-18,Attending,Bachelor's,NSC,,,3083
a02f400000iSnGqAAK,2020-06-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4054
a02f400000KbGdLAAV,2019-08-14,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4053
a02f4000006n6i3AAA,2017-01-18,2017-01-28,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,4051
a02f400000PaNOgAAN,2020-01-13,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4050
a02f400000G1i6wAAB,2019-01-14,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,4049
a02f4000006n6i2AAA,2016-09-26,2016-12-16,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,4048
a02f4000006n6i1AAA,2016-09-21,2016-12-11,2019-11-18,Transferred out,Bachelor's,NSC,,,4047
a02f4000006n6i4AAA,2017-08-16,2018-12-10,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,4052
a02f4000006n7LsAAI,2017-08-23,,2019-11-18,Attending,Bachelor's,NSC,,,1483
a02f400000iSnDdAAK,2020-06-15,,2019-11-18,Attending,Bachelor's,NSC,,,2551
a02f4000006n7AQAAY,2016-01-25,2016-05-20,2019-11-18,Transferred out,Bachelor's,NSC,,,4027
a02f4000006n7APAAY,2017-08-23,2018-12-19,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,PSYCHOLOGY,4026
a02f4000006n7AUAAY,2017-01-17,2017-05-26,2019-11-18,Graduated,Associate's,NSC,ASSOCIATE IN ARTS,INTERDISCIPLINARY STUDIES,4025
a02f4000006n7ATAAY,2016-08-17,2016-12-17,2019-11-18,Graduated,Associate's,NSC,ASSOCIATE IN ARTS-TRANSFER,PSYCHOLOGY: CSU,4024
a02f4000006n7ASAAY,2014-08-18,2015-12-18,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,4023
a02f4000006n7ARAAY,2013-06-24,2014-06-14,2019-11-18,Transferred out,Bachelor's,NSC,,,4022
a02f4000006n6vZAAQ,2016-08-23,2020-05-15,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,PSYCHOLOGY,3322
a02f4000006n7FMAAY,2014-09-02,2018-05-11,2019-11-18,Graduated,Bachelor's,NSC,,,3321
a02f400000Bli8wAAB,2018-08-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2404
a02f4000006n72MAAQ,2015-09-24,,2019-11-18,Attending,Bachelor's,NSC,,,3780
a02f400000iSnESAA0,2020-08-19,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2968
a02f400000PaNPEAA3,2020-01-13,,2019-11-18,Attending,Bachelor's,NSC,,,3760
a02f400000EtAIJAA3,2014-09-08,2016-05-06,2019-11-18,Transferred out,Bachelor's,NSC,,,3758
a02f400000EtAIIAA3,2016-08-22,2019-05-08,2019-11-18,Withdrew,Bachelor's,NSC,,,3759
a02f400000Bli1kAAB,2018-09-26,,2019-11-18,Attending,Bachelor's,NSC,,,2839
a02f4000006n6sLAAQ,2014-08-27,2015-12-19,2019-11-18,Transferred out,Bachelor's,NSC,,,3287
a02f4000006n6pdAAA,2015-08-24,2019-12-14,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,3305
a02f4000006n6waAAA,2015-08-17,2018-07-12,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3042
a02f400000G1i62AAB,2019-01-14,2019-05-15,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3043
a02f400000G1i61AAB,2019-01-28,2019-05-16,2019-11-18,Withdrew,Bachelor's,NSC,,,3041
a02f4000006n6wZAAQ,2017-08-23,2018-08-10,2019-11-18,Withdrew,Bachelor's,NSC,,,3040
a02f400000KbGY8AAN,2019-09-23,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2683
a02f4000006n7DvAAI,2017-06-12,2017-07-22,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,1271
a02f400000KbGieAAF,2019-08-26,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3387
a02f4000006n6hMAAQ,2017-08-16,2017-12-16,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3197
a02f4000006n6hOAAQ,2017-06-12,2017-08-05,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3195
a02f4000006n6hNAAQ,2013-08-19,2016-08-19,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3194
a02f400000Bli6TAAR,2018-08-15,2018-12-17,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3196
a02f400000iSn95AAC,2020-08-17,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2248
a02f400000G1i66AAB,2019-01-14,2019-08-30,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,2247
a02f400000Bli5cAAB,2018-07-30,2018-12-07,2019-11-18,Transferred out,Bachelor's,NSC,,,2246
a02f400000Bli1cAAB,2018-08-15,,2019-11-18,Attending,Bachelor's,NSC,,,1684
a02f400000PaNNIAA3,2020-01-21,2020-06-04,2019-11-18,Withdrew,Bachelor's,NSC,,,2471
a02f400000Bli17AAB,2018-08-22,2019-05-17,2019-11-18,Withdrew,Bachelor's,NSC,,,2470
a02f4000006n6mVAAQ,2015-08-29,2015-09-14,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,2424
a02f4000006n6nlAAA,2016-09-26,2017-09-15,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3809
a02f4000006n6q6AAA,2016-09-21,2020-06-11,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,COGNITIVE SCIENCE,432
a02f400000PaNNZAA3,2019-08-24,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,431
a02f400000KbGYPAA3,2019-09-23,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2254
a02f400000KbGdOAAV,2019-08-26,,2019-11-18,Attending,Bachelor's,NSC,,,1097
a02f400000KbGiGAAV,2019-08-26,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3390
a02f400000KbGYvAAN,2019-08-26,,2019-11-18,Attending,Bachelor's,NSC,,,3710
a02f400000PaNQCAA3,2020-01-13,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3551
a02f400000iSnC8AAK,2020-06-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3550
a02f400000KbGbfAAF,2019-08-14,2019-10-30,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3549
a02f4000006n6hYAAQ,2017-08-23,,2019-11-18,Attending,Bachelor's,NSC,,,2694
a02f4000006n6h5AAA,2017-08-28,,2019-11-18,Attending,Bachelor's,NSC,,,1647
a02f400000KbGZ8AAN,2019-08-24,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2149
a02f400000iSnG6AAK,2020-08-22,,2019-11-18,Attending,Bachelor's,NSC,,,2148
a02f4000006n6x9AAA,2015-08-24,2019-05-16,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION,INFORMATION SYSTEMS,3374
a02f4000006n6xAAAQ,2017-05-30,2017-08-22,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3373
a02f4000006n6xBAAQ,2016-05-31,2016-08-23,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3372
a02f400000Bli1jAAB,2018-05-29,2018-08-10,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3375
a02f400000Bli8sAAB,2018-08-22,,2019-11-18,Attending,Bachelor's,NSC,,,2384
a02f400000iSnFvAAK,2020-08-17,,2019-11-18,Attending,Bachelor's,NSC,,,853
a02f4000006n7BaAAI,2017-09-06,,2019-11-18,Attending,Bachelor's,NSC,,,2841
a02f400000Bli9EAAR,2018-06-11,2018-07-19,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3384
a02f4000006n71aAAA,2017-08-28,,2019-11-18,Attending,Bachelor's,NSC,,,3383
a02f400000iSnFjAAK,2019-08-19,,2019-11-18,Attending,Bachelor's,NSC,,,183
a02f400000KbGcqAAF,2019-09-03,2020-01-27,2019-11-18,Withdrew,Bachelor's,NSC,,,1865
a02f4000006n6obAAA,2016-08-17,2019-08-03,2019-11-18,Graduated,Certificate,NSC,CERTIFICATE PROGRAM,UNIVERSITY TRANSFER: CSUGE,1864
a02f4000006n6oaAAA,2017-06-12,2017-07-20,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1863
a02f400000Bli5oAAB,2018-09-27,,2019-11-18,Attending,Bachelor's,NSC,,,2245
a02f400000BlhzDAAR,2018-06-11,2018-09-03,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,4246
a02f400000KbGi1AAF,2019-09-03,,2019-11-18,Attending,Bachelor's,NSC,,,4245
a02f4000006n6yIAAQ,2017-09-05,2018-05-10,2019-11-18,Transferred out,Bachelor's,NSC,,,4244
a02f400000KbGaAAAV,2019-08-28,2020-06-04,2019-11-18,Withdrew,Bachelor's,NSC,,,1265
a02f400000PaNNgAAN,2020-01-16,,2019-11-18,Attending,Bachelor's,NSC,,,1988
a02f4000006n78ZAAQ,2017-08-26,2019-05-24,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,1987
a02f400000Bli6LAAR,2018-08-16,,2019-11-18,Attending,Bachelor's,NSC,,,3253
a02f400000iSnFWAA0,2020-08-24,,2019-11-18,Attending,Bachelor's,NSC,,,629
a02f4000006n6jxAAA,2013-09-25,2017-03-24,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,MANAGERIAL ECONOMICS,132
a02f400000KbGiQAAV,2019-09-23,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1281
a02f400000KbGiRAAV,2019-08-21,2019-09-12,2019-11-18,Transferred out,Bachelor's,NSC,,,1280
a02f4000006n7JrAAI,2016-06-20,,2019-11-18,Attending,Bachelor's,NSC,,,3424
a02f4000006n7PgAAI,2016-06-06,2016-07-04,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,2144
a02f4000006n7PfAAI,2015-09-24,2020-09-12,2018-11-28,Graduated,Bachelor's,Coordinator Verified,BACHELOR OF ARTS,HISTORY OF PUBLIC POLICY AND LAW,2143
a02f400000Bli7fAAB,2018-08-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,556
a02f400000iSnEdAAK,2020-06-29,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,773
a02f400000KbGhVAAV,2019-09-26,,2019-11-18,Attending,Bachelor's,NSC,,,772
a02f4000006n7EQAAY,2014-08-25,2018-05-24,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,COMPUTER SCIENCE-BS,1467
a02f400000PaNNTAA3,2020-02-05,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3136
a02f4000006n6lWAAQ,2016-06-06,2016-07-05,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3134
a02f400000PaNNUAA3,2020-01-13,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3133
a02f400000iSnCjAAK,2020-06-22,,2019-11-18,Attending,Bachelor's,NSC,,,3132
a02f400000KbGj9AAF,2019-08-05,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3131
a02f4000006n6lXAAQ,2017-06-12,2019-12-16,2019-11-18,Graduated,Associate's or Certificate (TBD),NSC,CERTIFICATE PROGRAM,UNIVERSITY TRANSFER: IGETC UC,3135
a02f4000006n6lVAAQ,2015-08-31,2019-05-02,2019-11-18,Transferred out,Bachelor's,NSC,,,3130
a02f400000PaNNJAA3,2020-04-06,,2019-11-18,Attending,Bachelor's,NSC,,,3773
a02f400000KbGa0AAF,2019-08-14,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3771
a02f400000BlhzwAAB,2018-09-24,2019-06-14,2019-11-18,Transferred out,Bachelor's,NSC,,,3772
a02f4000006n6syAAA,2016-08-24,,2019-11-18,Attending,Bachelor's,NSC,,,2667
a02f400000KbGddAAF,2017-09-07,,2019-11-18,Attending,Bachelor's,NSC,,,1641
a02f400000KbGftAAF,2019-09-25,,2019-11-18,Attending,Bachelor's,NSC,,,727
a02f400000iSnE1AAK,2020-08-19,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1643
a02f400000Bli8RAAR,2018-06-11,2018-07-26,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,1698
a02f4000006n74GAAQ,2016-08-24,,2019-11-18,Attending,Bachelor's,NSC,,,1697
a02f4000006n7OQAAY,2017-04-10,2017-12-15,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3697
a02f4000006n7OPAAY,2015-06-22,2017-03-24,2019-11-18,Transferred out,Bachelor's,NSC,,,3696
a02f400000Bli4BAAR,2018-07-02,2018-09-23,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3698
a02f400000Bli0QAAR,2018-01-16,2018-12-13,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,1900
a02f400000KZCIBAA5,2019-06-10,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2729
a02f4000006n7IEAAY,2017-08-28,,2019-11-18,Attending,Bachelor's,NSC,,,2728
a02f400000KbGhzAAF,2019-09-26,,2019-11-18,Attending,Bachelor's,NSC,,,404
a02f400000Bli20AAB,2018-08-16,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2954
a02f400000Bli76AAB,2018-07-16,2018-07-23,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3873
a02f400000KbGhyAAF,2019-08-14,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2392
a02f4000006n7PAAAY,2017-08-23,,2019-11-18,Attending,Bachelor's,NSC,,,2391
a02f400000EtgDGAAZ,2018-09-26,,2019-11-18,Attending,Bachelor's,NSC,,,2001
a02f400000iSnEaAAK,2020-06-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1999
a02f400000KbGetAAF,2019-06-10,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1998
a02f400000KbGesAAF,2019-01-19,2019-05-22,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,2000
a02f400000KbGbMAAV,2019-08-17,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3989
a02f400000PaNQ0AAN,2020-01-13,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3988
a02f400000Bli0wAAB,2018-08-27,2019-05-16,2019-11-18,Transferred out,Bachelor's,NSC,,,3987
a02f400000PaNQcAAN,2020-01-13,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,95
a02f4000006n6rLAAQ,2015-08-17,2015-12-11,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,94
a02f400000KbGbPAAV,2019-09-21,,2019-11-18,Attending,Bachelor's,NSC,,,148
a02f400000PaNNrAAN,2020-01-18,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1616
a02f400000KbGYIAA3,2019-08-24,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1615
a02f4000006n7NHAAY,2017-08-23,2018-09-13,2019-11-18,Withdrew,Bachelor's,NSC,,,2515
a02f400000G1i6RAAR,2019-01-24,2019-05-13,2019-11-18,Withdrew,Bachelor's,NSC,,,2516
a02f4000006n6rJAAQ,2017-09-27,2020-06-11,2019-11-18,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,INTERN'L AGRI DEVLOPMT,1004
a02f4000006n6rIAAQ,2015-08-24,2017-12-15,2019-11-18,Transferred out,Bachelor's,NSC,,,1003
a02f4000006n6wSAAQ,2015-08-17,2015-12-11,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,1509
a02f400000KbGbCAAV,2019-09-25,,2019-11-18,Attending,Bachelor's,NSC,,,1780
a02f4000006n76xAAA,2017-08-16,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,2464
a02f400000KbGcWAAV,2019-08-26,,2019-11-18,Attending,Bachelor's,NSC,,,812
a02f400000KbGaGAAV,2019-09-25,,2019-11-18,Attending,Bachelor's,NSC,,,973
a02f400000iSnF2AAK,2020-06-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,972
a02f400000KbGaHAAV,2019-08-14,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,971
a02f400000Bli2aAAB,2018-08-27,,2019-11-18,Attending,Bachelor's,NSC,,,3187
a02f4000006n7IDAAY,2017-09-05,,2019-11-18,Attending,Bachelor's,NSC,,,1257
a02f400000KbGhhAAF,2019-09-23,,2019-11-18,Attending,Bachelor's,NSC,,,174
a02f4000006n6h2AAA,2015-09-14,,2019-11-18,Attending,Bachelor's,NSC,,,2951
a02f400000PaNO5AAN,2020-01-27,,2019-11-18,Attending,Bachelor's,NSC,,,2950
a02f400000KbGc2AAF,2019-08-26,,2019-11-18,Attending,Bachelor's,NSC,,,3537
a02f4000006n7E8AAI,2016-08-29,2018-12-14,2019-11-18,Transferred out,Bachelor's,NSC,,,3536
a02f4000006n6nOAAQ,2017-04-10,2017-06-01,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,1750
a02f4000006n6nNAAQ,2013-08-19,2015-06-01,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,1749
a02f4000006n7DTAAY,2016-08-24,2016-12-12,2019-11-18,Withdrew,Bachelor's,NSC,,,1392
a02f400000G1i6xAAB,2019-01-07,2019-01-10,2018-11-28,Withdrew,Associate's or Certificate (TBD),Coordinator Verified,,,1393
a02f4000006n6rHAAQ,2015-01-12,2015-05-15,2019-11-18,Withdrew,Bachelor's,NSC,,,2645
a02f4000006n6rGAAQ,2013-08-26,2014-05-16,2019-11-18,Withdrew,Bachelor's,NSC,,,2644
a02f400000G1i5dAAB,2019-01-14,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3733
a02f400000Blhy8AAB,2018-08-15,2018-08-27,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3732
a02f400000Blhy4AAB,2018-08-21,,2019-11-18,Attending,Bachelor's,NSC,,,890
a02f400000EtAIZAA3,2016-08-24,2017-05-16,2019-11-18,Withdrew,Bachelor's,NSC,,,2595
a02f400000KbGe1AAF,2019-08-26,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,3125
a02f4000006n6srAAA,2017-08-28,2018-12-14,2019-11-18,Withdrew,Associate's or Certificate (TBD),NSC,,,3124
a02f4000006n6s2AAA,2016-08-24,2016-12-12,2019-11-18,Withdrew,Bachelor's,NSC,,,2632
a02f4000006n6s1AAA,2015-08-20,2015-12-08,2019-11-18,Withdrew,Bachelor's,NSC,,,2631
a02f400000KbGjmAAF,2019-09-21,,2019-11-18,Attending,Bachelor's,NSC,,,3973
a02f400000iSnEsAAK,2020-06-29,2020-07-06,2019-11-18,Transferred out,Associate's or Certificate (TBD),NSC,,,3972
a02f400000PaNQhAAN,2020-01-15,,2019-11-18,Attending,Associate's or Certificate (TBD),NSC,,,1438
